Opinion ID,Author,Recommendation,Stars,Content,Advantages,Disadvantages,Helpful,Unhelpful,Publishing date,Purchase date
14268101,s...3,No recommendation,5/5,"Laptop jest perfekcyjny, tylko nie za bardzo mi pasuje pod względem inżynierskich program typu Autocad, Robot itd.
Jak kupujecie go w celu pracy w tych programach to będzie nie najlepszy pomysł ze kupować ten laptop. We wszystkim innym nie mogę się nacieszyć - szybki, lekki, nie nagrzewa się, cichy i piękny :)","['audio (dolby', 'bateria', 'jakość', 'wydajność', 'wygląd']",[],11,2,"Wystawiono
4 lata temu, 
po miesiącu użytkowania",No date
15147658,b...1,No recommendation,"4,5/5","Za tą cenę - nie ma równych na rynku🔝. 
Perfekcyjnie wykończony design, bezkonkurencyjny procesor(świetnie radzi sobie ze wszystkimi wymaganiami, osobiście dla mnie, w marketingu i reklamie), dobry experience.
Polecam od całego serca!👍🏻","['bateria', 'jakość', 'wydajność', 'wygląd']",[],5,2,"Wystawiono
4 lata temu, 
po miesiącu użytkowania",No date
14228418,s...e,No recommendation,5/5,"Jakość wykonania na najwyższym poziomie, pojemna bateria, każdego dnia używam go nonstop w godzinach 12-16. Duży gładzik dzięki któremu nie ma potrzeby kupowania myszki, jakosc audio rowniez na wysokim poziomie, pisanie sprawia przyjemność","['audio (dolby', 'bateria', 'jakość', 'wydajność', 'wygląd']",[],3,4,"Wystawiono
4 lata temu, 
po 3 tygodniach użytkowania",No date
13786487,Tomasz,No recommendation,5/5,"Jeszcze przed Sylwestrem 2020 kupiłem nowy model MacBooka Air (szary z 16GB RAM). Na dostawę z Cortland czekałem tylko tydzień, może miałem szczęście. Jest naprawdę ładny (zwłaszcza wyświetlacz w porównaniu ze starym MacBookiem Air z 2015), jakość wykonania aluminiowej obudowy, bardzo wygodna podświetlana klawiatura (chociaż przyzwyczaiłem się do większego skoku klawiszy), wielki i precyzyjny gładzik (warto nauczyć się obsługi gestów, jak np. przewijanie stron 2 palcami) - są w tym modelu bez zarzutu.  Dźwięk także bardzo dobry, czysty i znacznie głośniejszy niż w ASUSie ZenBook sprzed paru lat. Szkoda, że nie da się na nowym MacBooku zainstalować systemu Windows na wydzielonej partycji (podobno da się na maszynie wirtualnej Parallels). Minusem jest mało portów (tylko 2 USB typu C, w tym do ładowania, i wyjście na słuchawki) oraz brak czytnika kart pamięci (w starym modelu pozwalał tanio zwiększyć pamięć na pliki). Sprawę załatwia zgrabny kwadratowy hub od GreenCella (może lepiej nie podłączać przez niego ładowania, chociaż można, ale myszki, dyski zewnętrzne na USB i wyjście HDMI na zewnętrzny monitor - działają). Nie wykorzystywałem dotąd bardzo obciążających system programów (typu Final Cut Pro), ale aplikacje systemowe (Zdjęcia, Muzyka, Safari) oraz inne często używane (Microsoft *****, PowerPoint, Excel, Adobe Reader czy Google Chrome) uruchamiają się bardzo szybko a laptop działa bez szumu wentylatorów (których brak) i czasami jest tylko trochę cieplejszy... Wbrew narzekaniom paru youtuberów, obraz z kamerki nawet starego MacBooka Air z 2015 był ładny, jasny i wyraźny w porównaniu z innymi uczestnikami lekcji online (aplikacja Teams na MacOS). W nowym modelu jest oczywiście nie gorsza kamera niż w starym. Bateria starcza na 10 godzin pracy czy nawet więcej (przy przyciemnionym wyświetlaczu i bez wi-fi). System operacyjny MacOS 11 Big Sur jest intuicyjny w obsłudze, ładny graficznie i stabilny (świetnie sprawdza się np. Time Machine). W ogóle nie gram na komputerze, więc na dostępności najnowszych gier w sklepie AppStore mi nie zależy. Jako wieloletni użytkownik Windowsów wszelakich nie mogłem jednak przyzwyczaić się do paru różnic obu systemów, jak brak na klawiaturze MacBooka Delete, od razu też przestawiłem miejscami klawisze Command i Option, aby wygodniej wstawiać w tekście polskie znaki. Gesty gładzika dopiero poznaję, wolę używać zewnętrznej myszki, a to jest dosyć kłopotliwe, bo wymaga adaptera USB C na USB 3.1 albo myszki na Bluetooth. Może z czasem zainwestuję w nowszą mysz, np. od Apple...","['bateria', 'jakość', 'wydajność', 'wygląd']",[],3,1,"Wystawiono
5 lat temu",No date
14313169,k...k,No recommendation,5/5,"Jako użytkownik systemu windows i laptopów/komputerów na nim opartych od wielu lat muszę powiedzieć, że jakość wykonania tej maszyny to wręcz definicja produktu premium. Aluminiowa obudowa, która się nie w ogóle nie nagrzewa, laptop nie wydaje żadnych dźwięków a system śmiga jak torpeda. Co prawda przyzwyczajenie się do tego, jak pewne rzeczy są konfigurowane/wykorzystywane w MacOS trochę może zająć po latach innych nawyków ale pierwsze wrażenie jest jest piorunujące. Nigdy nie widziałem tak wysokiej jakości obrazu na ekranie laptopa, żyletka. A te kolory... Głośniki też spoko, mają nawet zauważalną głębię co jest dziwnym biorąc pod uwagę jak drobny jest to sprzęt. Jedyny minus jaki w zasadzie zauważyłem to spore ramki wokół ekranu, których w laptopach premium na Windowsie nie ma już od paru lat.","['audio (dolby', 'bateria', 'jakość', 'wydajność', 'wygląd']",[],0,0,"Wystawiono
4 lata temu, 
po 5 dniach użytkowania",No date
15390962,v...a,No recommendation,5/5,Super cienki i Super wykonanie! super bateria  i szybkosc wiecej mi nie trzeba :),[],[],0,0,"Wystawiono
4 lata temu, 
po 2 tygodniach użytkowania",No date
14371486,z...p,No recommendation,5/5,"Mac, nic dodać nic ująć. Sprzęt wykonuje komendy w mgnieniu oka, piękny głęboki obraz z inteligentnym systemem przechodzenia w tryb nocny (można oczywiście wyłączyć) potężna bateria, fantastyczny, głęboki dźwięk z usadowionych obok klawiatury głośniczków, łączność z internetem po wifi niezawodna, mikrofon świetnie zbiera, kamera internetowa mogłaby być lepsza, bo w porównaniu z iPhonem prezentuje się licho, ale standard jest wciąż profesjonalny.
Minusy - brak standardowych wejść, od razu trzeba kupić adapter dla wszystkich potrzebnych narzędzi, SD USB HDMI itd.",[],[],1,0,"Wystawiono
4 lata temu, 
po 2 tygodniach użytkowania",No date
13816722,m...c,No recommendation,5/5,"To mój pierwszy MacBook. Decyzję o zmianie komputera osobistego z windowsem na komputer z MacOS podjąłem przy okazji kilkumiesięcznego użytkowania flagowego smartfona z androidem i powrocie do iPhone. 
Dostęp do plików, multimediów i danych jest rewelacyjny w połączeniu z iCloud.
Macbook Air M1 jest wykonany z bardzo dobrej jakości materiałów. Jest całkowicie bezgłośny (nie posiada wentylatorów) a przy tym bardzo chłodny. Uważam, że jego cena jest adekwatna do tego co oferuje.
Polecam.","['bateria', 'jakość', 'wydajność', 'wygląd']",[],4,1,"Wystawiono
5 lat temu, 
po 2 tygodniach użytkowania",No date
14327419,d...h,No recommendation,5/5,Sprzęt idealny,"['audio (dolby', 'bateria', 'jakość', 'wydajność', 'wygląd']",[],0,0,"Wystawiono
4 lata temu, 
po 3 tygodniach użytkowania",No date
18701569,e...z,No recommendation,3/5,"To mój pierwszy  kontakt  z produktem firmy Apple. Tak jak czytałem o jakości  dźwięku i obrazu  ,intuicyjności  systemu tak faktycznie  byłem  mile zaskoczony. Nie mniej nie obyło się bez momentów  rozczarowania.Amatorsko zajmuję  się  fotografią  i niestety tutaj zaczynają się schody.
Niektórych  programów  do obróbki  zdjęć  nie można  wgrać. Oglądanie własnych  filmów  video z wakacji na tv z androidem poprostu  nie odtworzysz.Zdarza się,  że Macbook się zawiesza i mocno grzeje. Mówiąc  wprost  super gadżety  to oglądania filmów z aplikacji, słuchani muzyki, przeglądania stron ale nie dla amatora fotografii.","['bateria', 'jakość', 'wydajność', 'wygląd']",[],1,1,"Wystawiono
10 miesięcy temu, 
po 3 miesiącach użytkowania",No date
